geoid,geoName,totalPop,medianAge,medianIncome
01,Alabama,5028092,39.3,59609
02,Alaska,734821,35.3,86370
04,Arizona,7172282,38.4,72581
05,Arkansas,3018669,38.4,56335
06,California,39356104,37.3,91905
08,Colorado,5770790,37.3,87598
09,Connecticut,3611317,40.9,90213
10,Delaware,993635,41.4,79325
11,District of Columbia,670587,34.8,101722
12,Florida,21634529,42.4,67917
13,Georgia,10722325,37.2,71355
15,Hawaii,1450589,39.9,94814
16,Idaho,1854109,36.9,70214
17,Illinois,12757634,38.7,78433
18,Indiana,6784403,38,67173
19,Iowa,3188836,38.4,70571
20,Kansas,2935922,37.1,69747
21,Kentucky,4502935,39.1,60183
22,Louisiana,4640546,37.6,57852
23,Maine,1366949,44.8,68251
24,Maryland,6161707,39.1,98461
25,Massachusetts,6984205,39.8,96505
26,Michigan,10057921,39.9,68505
27,Minnesota,5695292,38.5,84313
28,Mississippi,2958846,38.1,52985
29,Missouri,6154422,38.8,65920
30,Montana,1091840,40.1,66341
31,Nebraska,1958939,36.9,71722
32,Nevada,3104817,38.5,71646
33,New Hampshire,1379610,43.1,90845
34,New Jersey,9249063,40,97126
35,New Mexico,2112463,38.6,58722
36,New York,19994379,39.3,81386
37,North Carolina,10470214,39.1,66186
38,North Dakota,776874,35.4,73959
39,Ohio,11774683,39.6,66990
40,Oklahoma,3970497,36.9,61364
41,Oregon,4229374,39.9,76632
42,Pennsylvania,12989208,40.8,73170
44,Rhode Island,1094250,40.1,81370
45,South Carolina,5142750,40,63623
46,South Dakota,890342,37.5,69457
47,Tennessee,6923772,38.9,64035
48,Texas,29243342,35.2,73035
49,Utah,3283809,31.4,86833
50,Vermont,643816,42.9,74014
51,Virginia,8624511,38.7,87249
53,Washington,7688549,38,90325
54,West Virginia,1792967,42.6,55217
55,Wisconsin,5882128,39.9,72458
56,Wyoming,577929,38.5,72495
72,Puerto Rico,3272382,43.7,24002
